post_id,timestamp,content,likes,comments,shares
1898836472834170995,2025-03-09 20:41:08,breakout alert depression vegoybajcmkqeucznurlhvcntksvhskfpump fdv min k lp sol millisecond speed httpstcoqejtkvfxj quickest fills ever seen depression degen httpstcoivybara,0,0,0
1898836472402509853,2025-03-09 20:41:08,rt halalltakeaway sun london beautiful depression cancelled,0,0,284
1898836471861432722,2025-03-09 20:41:08,rt shreyasiyer overwhelmed ecstatic proud brilliant team champions weve earned proud way fought,0,0,1343
1898836471705895144,2025-03-09 20:41:08,rt shreyasiyer overwhelmed ecstatic proud brilliant team champions weve earned proud way fought,0,0,1343
1898836471341043897,2025-03-09 20:41:08,stress stress theres even stress stress,1,0,0
1898836469550293254,2025-03-09 20:41:07,rt artemisfornow covid im reflecting woman arrested filming inside empty local hospital whilst nurse filmed,0,0,1736
1898836466937331878,2025-03-09 20:41:07,rt helenstaniland women dont need give reason dont consent adult males entering female spaces dont shar,0,0,709
1898836466853154944,2025-03-09 20:41:07,buying cookie tray bring old pharmacy coworkers keep asking see anxiety beats back years supposed keep backing thats plan,0,0,0
1898836466689822907,2025-03-09 20:41:06,cdinewsletter yeah took look doesnt pencil terms relative timestress thoughts httpstcotyoistidob vs httpstcodcfsaz,0,0,0
1898836466660188302,2025-03-09 20:41:06,rt daddiespetkai lonely creep neighbor convinced take sip new juice made scratch su,0,0,86
1898836466362393020,2025-03-09 20:41:06,rt rynkrynk fouryearold gets anxious whenever take nap daycares makeshift bomb shelter almost daily,0,0,4671
1898836465725116547,2025-03-09 20:41:06,defiantls pissed devia hells firey lake earths core needs serious couch trips meds psychologist pyschatrist hmmm indeed think fortune cure appears hopeless httpstcoysrmosy,0,0,0
1898836465347637707,2025-03-09 20:41:06,rt reidedwardii herbert hoover often remembered st president united states long entered white house,0,0,3
1898836464714047770,2025-03-09 20:41:06,rt cerfiafr les meilleures villes au monde visiter en toulouse puducherry bansko chiang mai g,0,0,91
1898836462541709814,2025-03-09 20:41:06,naiivememe anxiety kicks know clean sink tap every single shower drops dry leaving ugly effect httpstcosstnagbhg,0,0,0
